"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"1135",1,"Summer",1,"Anoura_caudifer",NA
"1149",1,"Summer",2,"Anoura_caudifer",NA
"1163",1,"Summer",3,"Anoura_caudifer",NA
"1136",2,"Summer",1,"Anoura_caudifer",NA
"1150",2,"Summer",2,"Anoura_caudifer",NA
"1164",2,"Summer",3,"Anoura_caudifer",NA
"1137",3,"Summer",1,"Anoura_caudifer",NA
"1151",3,"Summer",2,"Anoura_caudifer",NA
"1165",3,"Summer",3,"Anoura_caudifer",NA
"1138",4,"Summer",1,"Anoura_caudifer",NA
"1152",4,"Summer",2,"Anoura_caudifer",NA
"1166",4,"Summer",3,"Anoura_caudifer",NA
"1139",5,"Summer",1,"Anoura_caudifer",NA
"1153",5,"Summer",2,"Anoura_caudifer",NA
"1167",5,"Summer",3,"Anoura_caudifer",NA
"1140",6,"Summer",1,"Anoura_caudifer",NA
"1154",6,"Summer",2,"Anoura_caudifer",NA
"1168",6,"Summer",3,"Anoura_caudifer",NA
"1141",7,"Summer",1,"Anoura_caudifer",NA
"1155",7,"Summer",2,"Anoura_caudifer",NA
"1169",7,"Summer",3,"Anoura_caudifer",NA
"1142",8,"Summer",1,"Anoura_caudifer",NA
"1156",8,"Summer",2,"Anoura_caudifer",NA
"1170",8,"Summer",3,"Anoura_caudifer",NA
"1143",9,"Summer",1,"Anoura_caudifer",NA
"1157",9,"Summer",2,"Anoura_caudifer",NA
"1171",9,"Summer",3,"Anoura_caudifer",NA
"1144",10,"Summer",1,"Anoura_caudifer",NA
"1158",10,"Summer",2,"Anoura_caudifer",NA
"1172",10,"Summer",3,"Anoura_caudifer",NA
"1145",11,"Summer",1,"Anoura_caudifer",NA
"1159",11,"Summer",2,"Anoura_caudifer",NA
"1173",11,"Summer",3,"Anoura_caudifer",NA
"1146",12,"Summer",1,"Anoura_caudifer",NA
"1160",12,"Summer",2,"Anoura_caudifer",NA
"1174",12,"Summer",3,"Anoura_caudifer",NA
"1147",13,"Summer",1,"Anoura_caudifer",NA
"1161",13,"Summer",2,"Anoura_caudifer",NA
"1175",13,"Summer",3,"Anoura_caudifer",NA
"1148",14,"Summer",1,"Anoura_caudifer",NA
"1162",14,"Summer",2,"Anoura_caudifer",NA
"1176",14,"Summer",3,"Anoura_caudifer",NA
"1",1,"Winter",1,"Anoura_caudifer",NA
"15",1,"Winter",2,"Anoura_caudifer",NA
"29",1,"Winter",3,"Anoura_caudifer",NA
"2",2,"Winter",1,"Anoura_caudifer",NA
"16",2,"Winter",2,"Anoura_caudifer",NA
"30",2,"Winter",3,"Anoura_caudifer",NA
"3",3,"Winter",1,"Anoura_caudifer",NA
"17",3,"Winter",2,"Anoura_caudifer",NA
"31",3,"Winter",3,"Anoura_caudifer",NA
"4",4,"Winter",1,"Anoura_caudifer",NA
"18",4,"Winter",2,"Anoura_caudifer",NA
"32",4,"Winter",3,"Anoura_caudifer",NA
"5",5,"Winter",1,"Anoura_caudifer",NA
"19",5,"Winter",2,"Anoura_caudifer",NA
"33",5,"Winter",3,"Anoura_caudifer",NA
"6",6,"Winter",1,"Anoura_caudifer",NA
"20",6,"Winter",2,"Anoura_caudifer",NA
"34",6,"Winter",3,"Anoura_caudifer",NA
"7",7,"Winter",1,"Anoura_caudifer",NA
"21",7,"Winter",2,"Anoura_caudifer",NA
"35",7,"Winter",3,"Anoura_caudifer",NA
"8",8,"Winter",1,"Anoura_caudifer",NA
"22",8,"Winter",2,"Anoura_caudifer",NA
"36",8,"Winter",3,"Anoura_caudifer",NA
"9",9,"Winter",1,"Anoura_caudifer",NA
"23",9,"Winter",2,"Anoura_caudifer",NA
"37",9,"Winter",3,"Anoura_caudifer",NA
"10",10,"Winter",1,"Anoura_caudifer",NA
"24",10,"Winter",2,"Anoura_caudifer",NA
"38",10,"Winter",3,"Anoura_caudifer",NA
"11",11,"Winter",1,"Anoura_caudifer",NA
"25",11,"Winter",2,"Anoura_caudifer",NA
