"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"757",1,"Summer",1,"Anoura_caudifer",0
"771",1,"Summer",2,"Anoura_caudifer",0
"758",2,"Summer",1,"Anoura_caudifer",0
"772",2,"Summer",2,"Anoura_caudifer",0
"759",3,"Summer",1,"Anoura_caudifer",0
"773",3,"Summer",2,"Anoura_caudifer",0
"760",4,"Summer",1,"Anoura_caudifer",0
"774",4,"Summer",2,"Anoura_caudifer",0
"761",5,"Summer",1,"Anoura_caudifer",0
"775",5,"Summer",2,"Anoura_caudifer",0
"762",6,"Summer",1,"Anoura_caudifer",0
"776",6,"Summer",2,"Anoura_caudifer",0
"763",7,"Summer",1,"Anoura_caudifer",0
"777",7,"Summer",2,"Anoura_caudifer",0
"764",8,"Summer",1,"Anoura_caudifer",0
"778",8,"Summer",2,"Anoura_caudifer",0
"765",9,"Summer",1,"Anoura_caudifer",0
"779",9,"Summer",2,"Anoura_caudifer",0
"766",10,"Summer",1,"Anoura_caudifer",1
"780",10,"Summer",2,"Anoura_caudifer",0
"767",11,"Summer",1,"Anoura_caudifer",0
"781",11,"Summer",2,"Anoura_caudifer",0
"768",12,"Summer",1,"Anoura_caudifer",0
"782",12,"Summer",2,"Anoura_caudifer",0
"769",13,"Summer",1,"Anoura_caudifer",0
"783",13,"Summer",2,"Anoura_caudifer",0
"770",14,"Summer",1,"Anoura_caudifer",0
"784",14,"Summer",2,"Anoura_caudifer",0
"1",1,"Winter",1,"Anoura_caudifer",0
"15",1,"Winter",2,"Anoura_caudifer",0
"2",2,"Winter",1,"Anoura_caudifer",0
"16",2,"Winter",2,"Anoura_caudifer",0
"3",3,"Winter",1,"Anoura_caudifer",NA
"17",3,"Winter",2,"Anoura_caudifer",NA
"4",4,"Winter",1,"Anoura_caudifer",0
"18",4,"Winter",2,"Anoura_caudifer",0
"5",5,"Winter",1,"Anoura_caudifer",0
"19",5,"Winter",2,"Anoura_caudifer",0
"6",6,"Winter",1,"Anoura_caudifer",NA
"20",6,"Winter",2,"Anoura_caudifer",NA
"7",7,"Winter",1,"Anoura_caudifer",0
"21",7,"Winter",2,"Anoura_caudifer",0
"8",8,"Winter",1,"Anoura_caudifer",0
"22",8,"Winter",2,"Anoura_caudifer",0
"9",9,"Winter",1,"Anoura_caudifer",1
"23",9,"Winter",2,"Anoura_caudifer",0
"10",10,"Winter",1,"Anoura_caudifer",NA
"24",10,"Winter",2,"Anoura_caudifer",NA
"11",11,"Winter",1,"Anoura_caudifer",0
"25",11,"Winter",2,"Anoura_caudifer",0
"12",12,"Winter",1,"Anoura_caudifer",0
"26",12,"Winter",2,"Anoura_caudifer",0
"13",13,"Winter",1,"Anoura_caudifer",2
"27",13,"Winter",2,"Anoura_caudifer",0
"14",14,"Winter",1,"Anoura_caudifer",0
"28",14,"Winter",2,"Anoura_caudifer",0
"785",1,"Summer",1,"Anoura_geoffroyi",0
"799",1,"Summer",2,"Anoura_geoffroyi",0
"786",2,"Summer",1,"Anoura_geoffroyi",0
"800",2,"Summer",2,"Anoura_geoffroyi",0
"787",3,"Summer",1,"Anoura_geoffroyi",0
"801",3,"Summer",2,"Anoura_geoffroyi",0
"788",4,"Summer",1,"Anoura_geoffroyi",0
"802",4,"Summer",2,"Anoura_geoffroyi",0
"789",5,"Summer",1,"Anoura_geoffroyi",0
"803",5,"Summer",2,"Anoura_geoffroyi",0
"790",6,"Summer",1,"Anoura_geoffroyi",0
"804",6,"Summer",2,"Anoura_geoffroyi",0
"791",7,"Summer",1,"Anoura_geoffroyi",0
"805",7,"Summer",2,"Anoura_geoffroyi",0
"792",8,"Summer",1,"Anoura_geoffroyi",0
"806",8,"Summer",2,"Anoura_geoffroyi",0
"793",9,"Summer",1,"Anoura_geoffroyi",2
"807",9,"Summer",2,"Anoura_geoffroyi",1
"794",10,"Summer",1,"Anoura_geoffroyi",0
"808",10,"Summer",2,"Anoura_geoffroyi",0
"795",11,"Summer",1,"Anoura_geoffroyi",0
"809",11,"Summer",2,"Anoura_geoffroyi",0
"796",12,"Summer",1,"Anoura_geoffroyi",0
"810",12,"Summer",2,"Anoura_geoffroyi",0
"797",13,"Summer",1,"Anoura_geoffroyi",0
"811",13,"Summer",2,"Anoura_geoffroyi",0
"798",14,"Summer",1,"Anoura_geoffroyi",0
"812",14,"Summer",2,"Anoura_geoffroyi",0
"29",1,"Winter",1,"Anoura_geoffroyi",0
"43",1,"Winter",2,"Anoura_geoffroyi",0
"30",2,"Winter",1,"Anoura_geoffroyi",0
"44",2,"Winter",2,"Anoura_geoffroyi",0
"31",3,"Winter",1,"Anoura_geoffroyi",NA
"45",3,"Winter",2,"Anoura_geoffroyi",NA
"32",4,"Winter",1,"Anoura_geoffroyi",0
"46",4,"Winter",2,"Anoura_geoffroyi",0
"33",5,"Winter",1,"Anoura_geoffroyi",0
"47",5,"Winter",2,"Anoura_geoffroyi",0
"34",6,"Winter",1,"Anoura_geoffroyi",NA
"48",6,"Winter",2,"Anoura_geoffroyi",NA
"35",7,"Winter",1,"Anoura_geoffroyi",0
"49",7,"Winter",2,"Anoura_geoffroyi",0
"36",8,"Winter",1,"Anoura_geoffroyi",0
"50",8,"Winter",2,"Anoura_geoffroyi",0
"37",9,"Winter",1,"Anoura_geoffroyi",4
"51",9,"Winter",2,"Anoura_geoffroyi",1
"38",10,"Winter",1,"Anoura_geoffroyi",NA
"52",10,"Winter",2,"Anoura_geoffroyi",NA
"39",11,"Winter",1,"Anoura_geoffroyi",0
"53",11,"Winter",2,"Anoura_geoffroyi",0
"40",12,"Winter",1,"Anoura_geoffroyi",0
"54",12,"Winter",2,"Anoura_geoffroyi",0
"41",13,"Winter",1,"Anoura_geoffroyi",0
"55",13,"Winter",2,"Anoura_geoffroyi",0
"42",14,"Winter",1,"Anoura_geoffroyi",1
"56",14,"Winter",2,"Anoura_geoffroyi",0
"813",1,"Summer",1,"Artibeus_fimbriatus",0
"827",1,"Summer",2,"Artibeus_fimbriatus",0
"814",2,"Summer",1,"Artibeus_fimbriatus",0
"828",2,"Summer",2,"Artibeus_fimbriatus",0
"815",3,"Summer",1,"Artibeus_fimbriatus",0
"829",3,"Summer",2,"Artibeus_fimbriatus",0
"816",4,"Summer",1,"Artibeus_fimbriatus",0
"830",4,"Summer",2,"Artibeus_fimbriatus",0
"817",5,"Summer",1,"Artibeus_fimbriatus",0
"831",5,"Summer",2,"Artibeus_fimbriatus",0
"818",6,"Summer",1,"Artibeus_fimbriatus",0
"832",6,"Summer",2,"Artibeus_fimbriatus",0
"819",7,"Summer",1,"Artibeus_fimbriatus",0
"833",7,"Summer",2,"Artibeus_fimbriatus",0
"820",8,"Summer",1,"Artibeus_fimbriatus",0
"834",8,"Summer",2,"Artibeus_fimbriatus",0
"821",9,"Summer",1,"Artibeus_fimbriatus",0
"835",9,"Summer",2,"Artibeus_fimbriatus",0
"822",10,"Summer",1,"Artibeus_fimbriatus",0
"836",10,"Summer",2,"Artibeus_fimbriatus",2
"823",11,"Summer",1,"Artibeus_fimbriatus",4
"837",11,"Summer",2,"Artibeus_fimbriatus",0
"824",12,"Summer",1,"Artibeus_fimbriatus",3
"838",12,"Summer",2,"Artibeus_fimbriatus",2
"825",13,"Summer",1,"Artibeus_fimbriatus",5
"839",13,"Summer",2,"Artibeus_fimbriatus",1
"826",14,"Summer",1,"Artibeus_fimbriatus",1
"840",14,"Summer",2,"Artibeus_fimbriatus",3
"57",1,"Winter",1,"Artibeus_fimbriatus",0
"71",1,"Winter",2,"Artibeus_fimbriatus",0
"58",2,"Winter",1,"Artibeus_fimbriatus",0
"72",2,"Winter",2,"Artibeus_fimbriatus",0
"59",3,"Winter",1,"Artibeus_fimbriatus",NA
"73",3,"Winter",2,"Artibeus_fimbriatus",NA
"60",4,"Winter",1,"Artibeus_fimbriatus",0
"74",4,"Winter",2,"Artibeus_fimbriatus",0
"61",5,"Winter",1,"Artibeus_fimbriatus",0
"75",5,"Winter",2,"Artibeus_fimbriatus",0
"62",6,"Winter",1,"Artibeus_fimbriatus",NA
"76",6,"Winter",2,"Artibeus_fimbriatus",NA
"63",7,"Winter",1,"Artibeus_fimbriatus",0
"77",7,"Winter",2,"Artibeus_fimbriatus",0
"64",8,"Winter",1,"Artibeus_fimbriatus",0
"78",8,"Winter",2,"Artibeus_fimbriatus",0
"65",9,"Winter",1,"Artibeus_fimbriatus",0
"79",9,"Winter",2,"Artibeus_fimbriatus",0
"66",10,"Winter",1,"Artibeus_fimbriatus",NA
"80",10,"Winter",2,"Artibeus_fimbriatus",NA
"67",11,"Winter",1,"Artibeus_fimbriatus",0
"81",11,"Winter",2,"Artibeus_fimbriatus",0
"68",12,"Winter",1,"Artibeus_fimbriatus",0
"82",12,"Winter",2,"Artibeus_fimbriatus",0
"69",13,"Winter",1,"Artibeus_fimbriatus",1
"83",13,"Winter",2,"Artibeus_fimbriatus",0
"70",14,"Winter",1,"Artibeus_fimbriatus",0
"84",14,"Winter",2,"Artibeus_fimbriatus",0
"841",1,"Summer",1,"Artibeus_lituratus",0
"855",1,"Summer",2,"Artibeus_lituratus",0
"842",2,"Summer",1,"Artibeus_lituratus",0
"856",2,"Summer",2,"Artibeus_lituratus",0
"843",3,"Summer",1,"Artibeus_lituratus",0
"857",3,"Summer",2,"Artibeus_lituratus",0
"844",4,"Summer",1,"Artibeus_lituratus",0
"858",4,"Summer",2,"Artibeus_lituratus",0
"845",5,"Summer",1,"Artibeus_lituratus",0
"859",5,"Summer",2,"Artibeus_lituratus",0
"846",6,"Summer",1,"Artibeus_lituratus",0
"860",6,"Summer",2,"Artibeus_lituratus",0
"847",7,"Summer",1,"Artibeus_lituratus",0
"861",7,"Summer",2,"Artibeus_lituratus",0
"848",8,"Summer",1,"Artibeus_lituratus",0
"862",8,"Summer",2,"Artibeus_lituratus",0
"849",9,"Summer",1,"Artibeus_lituratus",0
"863",9,"Summer",2,"Artibeus_lituratus",0
"850",10,"Summer",1,"Artibeus_lituratus",0
"864",10,"Summer",2,"Artibeus_lituratus",0
"851",11,"Summer",1,"Artibeus_lituratus",0
"865",11,"Summer",2,"Artibeus_lituratus",0
"852",12,"Summer",1,"Artibeus_lituratus",0
"866",12,"Summer",2,"Artibeus_lituratus",0
"853",13,"Summer",1,"Artibeus_lituratus",1
"867",13,"Summer",2,"Artibeus_lituratus",0
"854",14,"Summer",1,"Artibeus_lituratus",1
"868",14,"Summer",2,"Artibeus_lituratus",1
"85",1,"Winter",1,"Artibeus_lituratus",0
"99",1,"Winter",2,"Artibeus_lituratus",0
"86",2,"Winter",1,"Artibeus_lituratus",0
"100",2,"Winter",2,"Artibeus_lituratus",0
"87",3,"Winter",1,"Artibeus_lituratus",NA
"101",3,"Winter",2,"Artibeus_lituratus",NA
"88",4,"Winter",1,"Artibeus_lituratus",0
"102",4,"Winter",2,"Artibeus_lituratus",0
"89",5,"Winter",1,"Artibeus_lituratus",0
"103",5,"Winter",2,"Artibeus_lituratus",0
"90",6,"Winter",1,"Artibeus_lituratus",NA
"104",6,"Winter",2,"Artibeus_lituratus",NA
"91",7,"Winter",1,"Artibeus_lituratus",0
"105",7,"Winter",2,"Artibeus_lituratus",0
"92",8,"Winter",1,"Artibeus_lituratus",0
"106",8,"Winter",2,"Artibeus_lituratus",0
"93",9,"Winter",1,"Artibeus_lituratus",0
"107",9,"Winter",2,"Artibeus_lituratus",0
"94",10,"Winter",1,"Artibeus_lituratus",NA
"108",10,"Winter",2,"Artibeus_lituratus",NA
"95",11,"Winter",1,"Artibeus_lituratus",0
"109",11,"Winter",2,"Artibeus_lituratus",0
"96",12,"Winter",1,"Artibeus_lituratus",0
"110",12,"Winter",2,"Artibeus_lituratus",0
"97",13,"Winter",1,"Artibeus_lituratus",0
"111",13,"Winter",2,"Artibeus_lituratus",0
"98",14,"Winter",1,"Artibeus_lituratus",0
